date,region,disease,cases,deaths,recovered,population
2023-06-23,Telangana,Malaria,449,10,374,136777099
2023-06-23,Telangana,Cholera,125,2,101,136777099
2023-06-23,Telangana,Influenza,16,0,14,136777099
2023-06-23,Telangana,COVID-19,424,15,398,136777099
2023-06-30,Maharashtra,Dengue,536,22,451,74070786
2023-06-30,Maharashtra,Malaria,138,4,120,74070786
2023-06-30,Maharashtra,Cholera,188,3,154,74070786
2023-06-30,Maharashtra,Influenza,86,1,78,74070786
2023-06-30,Maharashtra,COVID-19,408,9,357,74070786
2023-06-30,Karnataka,Dengue,268,3,226,72956575
2023-06-30,Karnataka,Malaria,303,8,249,72956575
2023-06-30,Karnataka,Cholera,47,1,38,72956575
2023-06-30,Karnataka,Influenza,45,1,36,72956575
2023-06-30,Karnataka,COVID-19,100,1,94,72956575
2023-06-30,Delhi,Dengue,442,12,383,86893646
2023-06-30,Delhi,Malaria,352,11,300,86893646
2023-06-30,Delhi,Cholera,148,4,131,86893646
2023-06-30,Delhi,Influenza,72,1,63,86893646
2023-06-30,Delhi,COVID-19,116,1,97,86893646
2023-06-30,Tamil Nadu,Dengue,44,2,41,135388751
2023-06-30,Tamil Nadu,Malaria,50,0,41,135388751
2023-06-30,Tamil Nadu,Cholera,100,1,93,135388751
2023-06-30,Tamil Nadu,Influenza,78,1,69,135388751
2023-06-30,Tamil Nadu,COVID-19,81,3,74,135388751
2023-06-30,Kerala,Dengue,75,1,63,139890662
2023-06-30,Kerala,Malaria,163,2,153,139890662
2023-06-30,Kerala,Cholera,102,1,96,139890662
2023-06-30,Kerala,Influenza,35,1,31,139890662
2023-06-30,Kerala,COVID-19,86,2,78,139890662
2023-06-30,Gujarat,Dengue,72,1,59,70328404
2023-06-30,Gujarat,Malaria,581,10,509,70328404
2023-06-30,Gujarat,Cholera,74,2,65,70328404
2023-06-30,Gujarat,Influenza,56,2,48,70328404
2023-06-30,Gujarat,COVID-19,47,1,43,70328404
2023-06-30,Uttar Pradesh,Dengue,412,15,378,52632147
2023-06-30,Uttar Pradesh,Malaria,357,17,325,52632147
2023-06-30,Uttar Pradesh,Cholera,232,6,213,52632147
2023-06-30,Uttar Pradesh,Influenza,72,1,65,52632147
2023-06-30,Uttar Pradesh,COVID-19,60,1,52,52632147
2023-06-30,West Bengal,Dengue,192,4,162,136979561
2023-06-30,West Bengal,Malaria,131,5,108,136979561
2023-06-30,West Bengal,Cholera,38,0,31,136979561
2023-06-30,West Bengal,Influenza,58,1,53,136979561
2023-06-30,West Bengal,COVID-19,311,12,251,136979561
2023-06-30,Rajasthan,Dengue,166,7,134,167609398
2023-06-30,Rajasthan,Malaria,96,1,82,167609398
2023-06-30,Rajasthan,Cholera,258,4,214,167609398
2023-06-30,Rajasthan,Influenza,65,0,59,167609398
2023-06-30,Rajasthan,COVID-19,88,3,76,167609398
2023-06-30,Telangana,Dengue,199,6,188,166091605
2023-06-30,Telangana,Malaria,126,5,101,166091605
2023-06-30,Telangana,Cholera,205,3,182,166091605
2023-06-30,Telangana,Influenza,32,0,26,166091605
2023-06-30,Telangana,COVID-19,153,1,128,166091605
2023-07-07,Maharashtra,Dengue,267,9,241,58885431
2023-07-07,Maharashtra,Malaria,72,1,68,58885431
2023-07-07,Maharashtra,Cholera,255,9,209,58885431
2023-07-07,Maharashtra,Influenza,91,0,76,58885431
2023-07-07,Maharashtra,COVID-19,48,2,42,58885431
2023-07-07,Karnataka,Dengue,587,14,541,193436637
2023-07-07,Karnataka,Malaria,496,18,423,193436637
2023-07-07,Karnataka,Cholera,259,7,244,193436637
2023-07-07,Karnataka,Influenza,24,0,20,193436637
2023-07-07,Karnataka,COVID-19,47,1,40,193436637
2023-07-07,Delhi,Dengue,312,3,263,190068268
2023-07-07,Delhi,Malaria,196,7,178,190068268
2023-07-07,Delhi,Cholera,43,0,38,190068268
2023-07-07,Delhi,Influenza,64,1,59,190068268
2023-07-07,Delhi,COVID-19,79,3,67,190068268
2023-07-07,Tamil Nadu,Dengue,130,3,104,101439401
2023-07-07,Tamil Nadu,Malaria,81,2,69,101439401
2023-07-07,Tamil Nadu,Cholera,278,6,226,101439401
2023-07-07,Tamil Nadu,Influenza,87,3,73,101439401
2023-07-07,Tamil Nadu,COVID-19,69,2,55,101439401
2023-07-07,Kerala,Dengue,201,9,183,137409744
2023-07-07,Kerala,Malaria,222,6,191,137409744
2023-07-07,Kerala,Cholera,139,3,127,137409744
2023-07-07,Kerala,Influenza,31,1,28,137409744
2023-07-07,Kerala,COVID-19,160,3,145,137409744
2023-07-07,Gujarat,Dengue,235,6,190,46680343
2023-07-07,Gujarat,Malaria,172,5,141,46680343
2023-07-07,Gujarat,Cholera,319,5,301,46680343
2023-07-07,Gujarat,Influenza,22,0,18,46680343
2023-07-07,Gujarat,COVID-19,201,5,188,46680343
2023-07-07,Uttar Pradesh,Dengue,316,4,298,189490025
2023-07-07,Uttar Pradesh,Malaria,518,22,423,189490025
2023-07-07,Uttar Pradesh,Cholera,50,1,42,189490025
2023-07-07,Uttar Pradesh,Influenza,65,1,56,189490025
2023-07-07,Uttar Pradesh,COVID-19,95,4,80,189490025
2023-07-07,West Bengal,Dengue,666,13,575,74298473
2023-07-07,West Bengal,Malaria,301,13,280,74298473
2023-07-07,West Bengal,Cholera,55,1,44,74298473
2023-07-07,West Bengal,Influenza,74,3,65,74298473
2023-07-07,West Bengal,COVID-19,180,6,144,74298473
2023-07-07,Rajasthan,Dengue,316,3,278,151548526
2023-07-07,Rajasthan,Malaria,400,16,373,151548526
2023-07-07,Rajasthan,Cholera,367,8,312,151548526
2023-07-07,Rajasthan,Influenza,26,0,23,151548526
2023-07-07,Rajasthan,COVID-19,210,6,183,151548526
2023-07-07,Telangana,Dengue,512,12,413,111677460
2023-07-07,Telangana,Malaria,733,8,670,111677460
2023-07-07,Telangana,Cholera,157,3,138,111677460
2023-07-07,Telangana,Influenza,62,2,57,111677460
2023-07-07,Telangana,COVID-19,239,4,213,111677460
2023-07-14,Maharashtra,Dengue,149,4,135,44766214
2023-07-14,Maharashtra,Malaria,630,23,541,44766214
2023-07-14,Maharashtra,Cholera,178,2,153,44766214
2023-07-14,Maharashtra,Influenza,93,4,75,44766214
2023-07-14,Maharashtra,COVID-19,431,13,352,44766214
2023-07-14,Karnataka,Dengue,582,17,542,74335678
2023-07-14,Karnataka,Malaria,267,6,218,74335678
2023-07-14,Karnataka,Cholera,183,6,164,74335678
2023-07-14,Karnataka,Influenza,62,1,52,74335678
2023-07-14,Karnataka,COVID-19,96,1,76,74335678
2023-07-14,Delhi,Dengue,223,5,205,184780621
2023-07-14,Delhi,Malaria,105,5,93,184780621
2023-07-14,Delhi,Cholera,213,2,198,184780621
2023-07-14,Delhi,Influenza,51,2,41,184780621
2023-07-14,Delhi,COVID-19,342,16,303,184780621
2023-07-14,Tamil Nadu,Dengue,245,4,200,87290101
2023-07-14,Tamil Nadu,Malaria,406,12,377,87290101
2023-07-14,Tamil Nadu,Cholera,191,4,174,87290101
2023-07-14,Tamil Nadu,Influenza,76,0,62,87290101
2023-07-14,Tamil Nadu,COVID-19,47,0,37,87290101
2023-07-14,Kerala,Dengue,105,1,94,190502801
2023-07-14,Kerala,Malaria,144,3,122,190502801
2023-07-14,Kerala,Cholera,61,0,53,190502801
2023-07-14,Kerala,Influenza,66,2,55,190502801
2023-07-14,Kerala,COVID-19,253,5,205,190502801
2023-07-14,Gujarat,Dengue,142,6,120,128785326
2023-07-14,Gujarat,Malaria,72,0,60,128785326
2023-07-14,Gujarat,Cholera,166,5,147,128785326
2023-07-14,Gujarat,Influenza,85,0,68,128785326
2023-07-14,Gujarat,COVID-19,227,9,190,128785326
2023-07-14,Uttar Pradesh,Dengue,239,3,209,187536044
2023-07-14,Uttar Pradesh,Malaria,193,3,177,187536044
2023-07-14,Uttar Pradesh,Cholera,188,4,154,187536044
2023-07-14,Uttar Pradesh,Influenza,87,0,71,187536044
2023-07-14,Uttar Pradesh,COVID-19,67,0,62,187536044
2023-07-14,West Bengal,Dengue,338,5,308,152286378
2023-07-14,West Bengal,Malaria,288,12,258,152286378
2023-07-14,West Bengal,Cholera,151,6,123,152286378
2023-07-14,West Bengal,Influenza,42,2,39,152286378
2023-07-14,West Bengal,COVID-19,124,5,99,152286378
2023-07-14,Rajasthan,Dengue,241,8,205,138569487
2023-07-14,Rajasthan,Malaria,545,22,508,138569487
2023-07-14,Rajasthan,Cholera,371,17,313,138569487
2023-07-14,Rajasthan,Influenza,74,0,64,138569487
2023-07-14,Rajasthan,COVID-19,247,5,223,138569487
2023-07-14,Telangana,Dengue,51,1,43,150155611
2023-07-14,Telangana,Malaria,114,3,101,150155611
2023-07-14,Telangana,Cholera,225,4,212,150155611
2023-07-14,Telangana,Influenza,26,0,21,150155611
2023-07-14,Telangana,COVID-19,126,3,110,150155611
2023-07-21,Maharashtra,Dengue,111,4,89,90900985
2023-07-21,Maharashtra,Malaria,599,7,518,90900985
2023-07-21,Maharashtra,Cholera,278,12,222,90900985
2023-07-21,Maharashtra,Influenza,47,2,38,90900985
2023-07-21,Maharashtra,COVID-19,47,1,40,90900985
2023-07-21,Karnataka,Dengue,160,2,137,74310135
2023-07-21,Karnataka,Malaria,285,5,251,74310135
2023-07-21,Karnataka,Cholera,125,1,111,74310135
2023-07-21,Karnataka,Influenza,34,1,27,74310135
2023-07-21,Karnataka,COVID-19,154,4,127,74310135
2023-07-21,Delhi,Dengue,68,2,63,41089876
2023-07-21,Delhi,Malaria,620,14,540,41089876
2023-07-21,Delhi,Cholera,29,0,23,41089876
2023-07-21,Delhi,Influenza,90,2,76,41089876
2023-07-21,Delhi,COVID-19,93,3,87,41089876
2023-07-21,Tamil Nadu,Dengue,73,2,66,146704675
2023-07-21,Tamil Nadu,Malaria,67,1,57,146704675
2023-07-21,Tamil Nadu,Cholera,294,6,261,146704675
2023-07-21,Tamil Nadu,Influenza,75,0,64,146704675
2023-07-21,Tamil Nadu,COVID-19,24,0,20,146704675
2023-07-21,Kerala,Dengue,515,5,469,160063591
2023-07-21,Kerala,Malaria,105,3,96,160063591
2023-07-21,Kerala,Cholera,176,8,163,160063591
2023-07-21,Kerala,Influenza,65,0,54,160063591
2023-07-21,Kerala,COVID-19,17,0,16,160063591
2023-07-21,Gujarat,Dengue,425,11,389,35685085
2023-07-21,Gujarat,Malaria,33,0,31,35685085
2023-07-21,Gujarat,Cholera,106,2,98,35685085
2023-07-21,Gujarat,Influenza,69,1,63,35685085
2023-07-21,Gujarat,COVID-19,438,4,362,35685085
2023-07-21,Uttar Pradesh,Dengue,460,21,368,73421057
2023-07-21,Uttar Pradesh,Malaria,472,16,417,73421057
2023-07-21,Uttar Pradesh,Cholera,72,2,63,73421057
2023-07-21,Uttar Pradesh,Influenza,68,2,59,73421057
2023-07-21,Uttar Pradesh,COVID-19,154,4,131,73421057
2023-07-21,West Bengal,Dengue,387,5,364,175243900
2023-07-21,West Bengal,Malaria,298,8,263,175243900
2023-07-21,West Bengal,Cholera,164,3,150,175243900
2023-07-21,West Bengal,Influenza,85,3,75,175243900
2023-07-21,West Bengal,COVID-19,178,3,144,175243900
2023-07-21,Rajasthan,Dengue,309,4,262,83511785
2023-07-21,Rajasthan,Malaria,57,2,53,83511785
2023-07-21,Rajasthan,Cholera,85,4,78,83511785
2023-07-21,Rajasthan,Influenza,65,3,58,83511785
2023-07-21,Rajasthan,COVID-19,270,5,216,83511785
2023-07-21,Telangana,Dengue,285,8,247,194203997
2023-07-21,Telangana,Malaria,278,9,233,194203997
2023-07-21,Telangana,Cholera,116,5,95,194203997
2023-07-21,Telangana,Influenza,24,1,20,194203997
2023-07-21,Telangana,COVID-19,129,3,122,194203997
2023-07-28,Maharashtra,Dengue,382,6,332,103082363
2023-07-28,Maharashtra,Malaria,149,6,129,103082363
2023-07-28,Maharashtra,Cholera,259,12,231,103082363
2023-07-28,Maharashtra,Influenza,15,0,12,103082363
2023-07-28,Maharashtra,COVID-19,265,11,235,103082363
2023-07-28,Karnataka,Dengue,109,3,88,40171214
2023-07-28,Karnataka,Malaria,754,9,663,40171214
2023-07-28,Karnataka,Cholera,50,2,43,40171214
2023-07-28,Karnataka,Influenza,70,1,57,40171214
2023-07-28,Karnataka,COVID-19,175,7,144,40171214
2023-07-28,Delhi,Dengue,244,10,213,33069025
2023-07-28,Delhi,Malaria,219,7,197,33069025
2023-07-28,Delhi,Cholera,100,1,93,33069025
2023-07-28,Delhi,Influenza,40,0,36,33069025
2023-07-28,Delhi,COVID-19,435,19,367,33069025
2023-07-28,Tamil Nadu,Dengue,332,12,312,145123771
2023-07-28,Tamil Nadu,Malaria,335,10,309,145123771
2023-07-28,Tamil Nadu,Cholera,285,10,234,145123771
2023-07-28,Tamil Nadu,Influenza,55,2,46,145123771
2023-07-28,Tamil Nadu,COVID-19,19,0,15,145123771
2023-07-28,Kerala,Dengue,477,6,404,97101587
2023-07-28,Kerala,Malaria,63,0,57,97101587
2023-07-28,Kerala,Cholera,50,2,45,97101587
2023-07-28,Kerala,Influenza,21,0,17,97101587
2023-07-28,Kerala,COVID-19,257,10,212,97101587
2023-07-28,Gujarat,Dengue,150,7,123,118242811
2023-07-28,Gujarat,Malaria,328,5,267,118242811
2023-07-28,Gujarat,Cholera,375,11,348,118242811
2023-07-28,Gujarat,Influenza,63,2,55,118242811
2023-07-28,Gujarat,COVID-19,211,5,182,118242811
2023-07-28,Uttar Pradesh,Dengue,110,5,96,137604819
2023-07-28,Uttar Pradesh,Malaria,281,11,245,137604819
2023-07-28,Uttar Pradesh,Cholera,53,1,47,137604819
2023-07-28,Uttar Pradesh,Influenza,18,0,15,137604819
2023-07-28,Uttar Pradesh,COVID-19,391,10,316,137604819
2023-07-28,West Bengal,Dengue,95,2,89,46323817
2023-07-28,West Bengal,Malaria,146,5,132,46323817
2023-07-28,West Bengal,Cholera,62,2,53,46323817
2023-07-28,West Bengal,Influenza,35,1,29,46323817
2023-07-28,West Bengal,COVID-19,268,6,224,46323817
2023-07-28,Rajasthan,Dengue,99,3,88,66062957
2023-07-28,Rajasthan,Malaria,58,1,46,66062957
2023-07-28,Rajasthan,Cholera,308,4,280,66062957
2023-07-28,Rajasthan,Influenza,95,2,88,66062957
2023-07-28,Rajasthan,COVID-19,150,2,120,66062957
2023-07-28,Telangana,Dengue,402,12,363,101985280
2023-07-28,Telangana,Malaria,85,1,69,101985280
2023-07-28,Telangana,Cholera,154,3,136,101985280
2023-07-28,Telangana,Influenza,30,0,27,101985280
2023-07-28,Telangana,COVID-19,129,5,117,101985280
2023-08-04,Maharashtra,Dengue,765,31,634,106772862
2023-08-04,Maharashtra,Malaria,529,12,466,106772862
2023-08-04,Maharashtra,Cholera,59,0,55,106772862
2023-08-04,Maharashtra,Influenza,50,1,42,106772862
2023-08-04,Maharashtra,COVID-19,234,9,205,106772862
2023-08-04,Karnataka,Dengue,183,2,171,178588785
2023-08-04,Karnataka,Malaria,321,10,259,178588785
2023-08-04,Karnataka,Cholera,40,1,32,178588785
2023-08-04,Karnataka,Influenza,36,1,30,178588785
2023-08-04,Karnataka,COVID-19,312,12,255,178588785
2023-08-04,Delhi,Dengue,55,2,49,123485903
2023-08-04,Delhi,Malaria,86,3,69,123485903
2023-08-04,Delhi,Cholera,169,8,158,123485903
2023-08-04,Delhi,Influenza,63,1,58,123485903
2023-08-04,Delhi,COVID-19,148,6,130,123485903
2023-08-04,Tamil Nadu,Dengue,456,14,429,135501218
2023-08-04,Tamil Nadu,Malaria,148,5,137,135501218
2023-08-04,Tamil Nadu,Cholera,86,3,75,135501218
2023-08-04,Tamil Nadu,Influenza,39,0,33,135501218
2023-08-04,Tamil Nadu,COVID-19,157,1,145,135501218
2023-08-04,Kerala,Dengue,619,25,571,98380312
2023-08-04,Kerala,Malaria,122,1,114,98380312
2023-08-04,Kerala,Cholera,48,2,40,98380312
2023-08-04,Kerala,Influenza,37,1,30,98380312
2023-08-04,Kerala,COVID-19,192,2,167,98380312
2023-08-04,Gujarat,Dengue,412,18,335,110028562
2023-08-04,Gujarat,Malaria,407,8,335,110028562
2023-08-04,Gujarat,Cholera,293,8,238,110028562
2023-08-04,Gujarat,Influenza,98,1,86,110028562
2023-08-04,Gujarat,COVID-19,335,14,315,110028562
2023-08-04,Uttar Pradesh,Dengue,693,25,655,141506978
2023-08-04,Uttar Pradesh,Malaria,335,12,293,141506978
2023-08-04,Uttar Pradesh,Cholera,125,4,113,141506978
2023-08-04,Uttar Pradesh,Influenza,31,0,29,141506978
